/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_44_858.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_44_858.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_44_858.jpg,0,0,0,23.89513
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_44_934.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_44_934.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_44_934.jpg,0,0,0,23.70305
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_009.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_009.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_009.jpg,0,0,0,23.5125
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_088.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_088.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_088.jpg,0,0,0,23.32345
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_168.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_168.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_168.jpg,0,0,0,23.13592
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_236.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_236.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_236.jpg,0,0,0,22.99629
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_308.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_308.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_308.jpg,0,0,0,22.81005
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_389.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_389.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_389.jpg,0,0,0,22.62523
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_467.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_467.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_467.jpg,0,0,0,22.442
/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/center_2019_08_12_18_50_45_548.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/left_2019_08_12_18_50_45_548.jpg,/media/der-alien/ZWEITE/study/ai/autonomous driving/output/IMG/right_2019_08_12_18_50_45_548.jpg,0,0,0,22.25997
